Vendor,PO Number,PO Type,Ship Date,Newness Flag,Vendor Confirmed Ship Date,Comments
101 Copenhagen ApS,PO9439058,Studio Sample,8/26/2022,Newness,,
101 Copenhagen ApS,PO9459343,Stock,8/24/2022,,,
101 Copenhagen ApS,PO9440340,Stock,8/26/2022,,,
101 Copenhagen ApS,PO9441955,Stock,8/26/2022,,,
101 Copenhagen ApS,PO9450859,Stock,8/26/2022,,,
101 Copenhagen ApS,PO9464352,Stock,9/5/2022,,,
101 Copenhagen ApS,PO9465417,Stock,9/7/2022,,,
1825 S.R.L,PO9453796,Stock,8/5/2022,,,
1825 S.R.L,PO9457986,Stock,8/5/2022,,,
1825 S.R.L,PO9466991,Contract,9/16/2022,,,
ALESSANDERX SPA,PO9465435,Stock,10/26/2022,Newness,,
ALESSANDERX SPA,PO9465626,Stock,9/8/2022,,,
ALESSANDERX SPA,PO9457784,Stock,9/12/2022,,,
ALFREDO SALVATORI SRL,PO9403364,Stock,4/29/2022,,,
AMERICAN LEATHER,PO9470365,Studio Sample,9/16/2022,Newness,,
AMERICAN LEATHER,PO9460567,Stock,10/13/2022,Newness,,
AMERICAN LEATHER,PO9439100,Contract,8/19/2022,,,
AMERICAN LEATHER,PO9440325,Contract,9/9/2022,,,
AMERICAN LEATHER,PO9455336,Contract,9/9/2022,,,
AMERICAN LEATHER,PO9459571,Contract,9/9/2022,,,
AMERICAN LEATHER,PO9465486,Contract,9/9/2022,,,
AMERICAN LEATHER,PO9467979,Contract,9/9/2022,,,
AMERICAN LEATHER,PO9469942,Stock,9/9/2022,,,
AMERICAN LEATHER,PO9471238,Stock,9/15/2022,,,
AMERICAN LEATHER,PO9457489,Contract,9/16/2022,,,
AMERICAN LEATHER,PO9468112,Stock,9/21/2022,,,
AMERICAN LEATHER,PO9470379,Studio Sample,9/21/2022,,,
AMERICAN LEATHER,PO9459377,Stock,9/26/2022,,,
AMERICAN LEATHER,PO9460547,Contract,9/29/2022,,,
AMERICAN LEATHER,PO9460566,Stock,9/29/2022,,,
AMERICAN LEATHER,PO9461705,Contract,9/29/2022,,,
Anglepoise Inc.,PO9434200,Stock,7/6/2022,,,
Anglepoise Inc.,PO9470380,Studio Sample,9/21/2022,,,
Anglepoise Inc.,PO9470391,Studio Sample,9/21/2022,,,
Anthom Design House,PO9459211,Stock,1/20/2023,Newness,,
Anthom Design House,PO9427193,Stock,8/5/2022,,,
Anthom Design House,PO9428317,Stock,8/5/2022,,,
Anthom Design House,PO9463597,Stock,8/12/2022,,,
Anthom Design House,PO9452028,Stock,9/2/2022,,,
Anthom Design House,PO9453465,Stock,9/2/2022,,,
Anthom Design House,PO9455914,Stock,9/2/2022,,,
Anthom Design House,PO9434432,Stock,9/9/2022,,,
Anthom Design House,PO9450860,Stock,9/9/2022,,,
Anthom Design House,PO9457002,Stock,9/16/2022,,,
Anthom Design House,PO9451847,Stock,9/30/2022,,,
Anthom Design House,PO9471239,Stock,9/30/2022,,,
AQUS Furniture Ltd.,PO9423256,Stock,7/8/2022,Newness,,
AQUS Furniture Ltd.,PO9414998,Stock,8/31/2022,,,
AQUS Furniture Ltd.,PO9414997,Stock,9/9/2022,,,
AQUS Furniture Ltd.,PO9433487,Stock,9/15/2022,,,
AQUS Furniture Ltd.,PO9414999,Stock,9/28/2022,,,
ARTEMIDE,PO9468528,Studio Sample,12/7/2022,Newness,,
Asa Glass Sp. z o.o.,PO9409832,Stock,8/19/2022,Newness,,
Asa Glass Sp. z o.o.,PO9434201,Stock,9/16/2022,,,
ASA-Selection USA Inc.,PO9450862,Stock,9/7/2022,,,
Atelier Belge BV - EUR,PO9463598,Stock,9/13/2022,,,
